area,bedrooms,price
1056,2,39.07
2600,4,120
1440,3,62
1521,3,75
1200,2,51
1170,2,38
2732,4,135
3300,4,155
1310,3,50
3700,5,167
1800,3,82
2785,4,140
1000,2,38
1100,2,40
2250,3,101
1175,2,42
1180,3,48
1540,3,60
2770,3,102
800,1,32
2323,1,97.07
2867,1,73.47
1818,1,148.86
1244,1,146.61
3824,2,138.23
1616,2,149.26
3123,4,59.13
1062,1,93.86
3764,1,63.21
3498,3,98.02
2581,2,141.61
2760,4,141.86
1142,2,79.5
3307,4,104.29
2497,5,39.82
1027,3,134.2
2993,1,63.79
2934,1,163.25
1565,3,66.36
1176,1,164.53
1021,5,37.78
2136,4,126.3
2536,3,108.83
2251,2,167.35
2234,1,50.15
1717,5,129.35
1839,2,64.67
3853,1,70.57
1006,4,150.93
3703,5,95.78
2805,2,47.64
3156,1,165.18
1155,4,137.27
2424,5,88.86
2191,5,167.83
2649,1,93.68
1193,5,146.61
1929,1,41.58
3272,5,91.37
1666,3,43.43
3366,5,43.55
2202,2,167.52
2955,4,156.84
1225,5,116.73
837,1,103.82
3557,5,145.78
2106,2,98.32
1700,1,154.34
3182,2,95.46
2007,1,78.56
3238,4,161.14
3941,2,144.18
3456,1,141.06
1844,1,89.61
1350,5,35.86
3805,3,134.83
3990,1,121.49
979,3,32.02
1130,5,139.59
2525,2,166.94
2149,4,137.37
2108,2,36.37
1154,1,115.04
1894,2,62.9
2899,4,153.85
3161,3,90.85
3446,2,99.54
2070,1,30.35
2898,4,143.61
1404,1,118.98
1954,3,58.3
2940,3,91.76
3567,2,103.29
2515,2,30.82
2590,5,66.77
2006,1,142.15
1834,1,134.58
3419,5,103.89
1552,3,98.19
2360,1,152.56
3302,5,47.33
2248,3,142.24
3865,1,45.2
2176,1,119.92
1548,1,65.86
2193,1,150.5
1432,4,100.89
3611,5,155.67
3513,4,110.0
2289,5,85.47
2028,1,75.86
1944,1,118.3
2309,1,158.54
1077,4,168.67
1163,1,127.93
2089,2,48.44
1741,5,160.0
3999,5,146.71
805,3,60.69
1916,4,91.57
1402,3,119.9
1658,3,153.52
1195,1,90.31
1847,3,84.95
2151,5,94.44
1649,4,113.33
1935,1,117.27
3011,5,126.68
3404,1,69.88
911,2,162.3
2994,4,145.57
2925,1,118.73
2390,3,67.49
1286,5,157.9
1787,5,49.71
2821,5,33.48
2206,3,76.67
2207,1,35.94
3533,1,148.07
2882,2,80.78
1987,1,125.33
3866,4,66.31
1789,1,63.57
1139,4,137.71
3763,5,153.2
2035,2,145.68
3804,1,111.35
2646,1,44.28
1457,1,167.94
3236,3,140.97
2511,5,106.78
979,1,152.82
1138,4,67.29
3205,5,69.01
3411,4,39.31
1490,5,46.44
1399,2,131.54
2797,2,42.73
3693,4,165.87
3971,4,124.34
3299,3,37.51
2647,3,42.18
1005,2,51.72
3980,4,77.22
1680,3,91.25
3900,3,164.28
2654,4,108.9
2432,5,142.25
2381,4,157.91
1269,1,118.25
2684,4,57.43
2150,5,152.06
2975,4,110.39
1614,5,37.58
3577,1,141.12
1792,3,120.45
1645,2,39.08
2965,2,152.73
2083,3,38.3
2120,4,135.65
1570,4,157.95
1286,5,72.35
1146,2,89.74
2241,4,123.94
1290,1,161.6
2247,1,87.75
1022,3,33.58
3269,5,110.25
1657,4,128.38
3023,5,117.18
2065,2,131.35
2902,4,149.87
3263,1,92.56
1156,3,143.29
1084,2,109.98
1470,2,152.65
1233,3,80.98
3677,5,96.68
1612,1,37.37
2554,4,43.79
3728,3,40.54
1166,5,164.07
1256,5,122.47
1702,4,32.66
3576,4,85.31
1841,3,128.9
2604,5,54.99
2156,3,96.21
1509,3,91.75
2970,3,72.61
3435,3,69.82
3387,5,153.61
3310,1,30.3
3166,4,143.47
1589,1,118.27
3238,4,100.99
3320,3,155.4
3252,3,43.43
3422,2,136.75
2389,5,133.85
2492,4,142.4
1816,5,52.47
2062,5,80.09
1327,4,149.78
2441,3,69.8
2303,3,144.75
2633,1,65.32
2982,1,92.1
2577,3,84.28
2121,4,87.35
3735,2,150.56
2945,3,159.39
3307,4,100.84
1471,2,36.03
1968,2,70.27
1595,1,118.21
1732,3,79.96
3507,4,158.03
1947,3,140.6
1995,1,120.51
2860,3,129.79
3881,5,130.22
3365,5,74.6
2287,3,155.34
2497,4,150.92
3157,5,51.71
1968,4,70.95
2937,5,34.8
2374,5,105.19
2589,1,56.64
1211,5,51.09
3064,3,112.64
1256,2,112.15
2409,1,98.63
3838,1,111.09
1902,2,58.49
1248,2,94.16
2148,1,95.55
3755,5,86.49
3345,4,63.24
1619,1,107.77
2117,2,55.79
2768,4,90.81
2630,5,102.95
3339,5,63.96
2849,5,91.2
1185,4,121.03
1588,5,81.22
1850,1,107.66
2147,1,142.81
2840,3,167.39
1641,2,35.31
1203,4,149.16
933,3,73.61
3947,4,96.46
1303,1,139.56
1821,1,117.4
2172,4,168.05
2184,4,93.01
2438,5,141.03
3674,2,82.49
2948,2,111.03
3353,2,153.56
2056,1,145.03
2051,2,169.95
1609,4,67.51
3778,1,38.67
3625,2,135.64
1028,2,92.54
1914,2,84.36
2662,5,35.04
1953,2,56.85
3532,3,117.81
2351,3,110.87
1257,3,52.64
3954,5,32.47
2424,3,104.83
1500,3,61.34
1879,2,112.19
1898,3,151.88
2998,3,43.28
2880,5,141.02
1733,3,161.2
1429,1,106.64
2685,4,43.67
1014,5,69.35
1478,3,33.84
3262,4,134.27
3135,1,57.34
2440,4,41.11
2669,3,116.6
1272,1,47.49
3910,3,137.65
1213,3,67.51
1670,3,30.2
3090,3,162.1
3476,3,121.36
2247,3,115.73
3482,2,49.37
2540,5,91.09
1219,4,160.16
3597,1,108.66
1737,3,169.66
2066,4,95.29
1052,4,81.39
1219,1,105.67
2519,1,89.85
2995,5,65.13
3876,1,138.14
1569,3,140.07
3527,5,128.43
2183,3,158.39
2868,2,84.19
2182,4,149.63
2254,5,111.7
2192,2,163.96
1922,4,158.83
3675,3,144.4
3282,3,46.07
1931,5,46.57
2416,1,157.9
3168,1,137.26
2143,4,119.0
1498,3,115.7
2302,2,72.18
2348,4,106.86
3716,2,40.88
1067,1,117.58
3167,2,85.23
1493,4,40.79
2898,5,36.58
2624,3,113.3
1004,1,156.4
1320,5,154.95
2239,5,169.09
3194,4,147.66
1847,5,92.79
1834,4,45.0
874,1,51.98
2789,3,55.46
3626,1,85.22
2140,1,116.56
3227,4,81.72
2876,2,71.13
3244,5,52.11
3200,5,90.78
1779,1,45.21
3006,3,147.54
963,3,74.44
2831,4,50.55
3382,2,40.96
2125,5,65.22
1201,1,137.86
2350,1,78.22
852,1,46.05
1531,1,41.06
3176,5,77.35
2885,5,160.73
3846,1,151.18
3158,3,133.96
3000,1,49.55
2600,1,78.79
2238,5,72.89
2918,4,100.74
3633,1,80.91
3931,4,74.09
1356,2,162.35
3860,4,51.26
3699,5,118.9
1087,1,84.14
3465,1,134.07
1540,3,106.37
1628,2,105.61
1500,2,133.95
3909,2,158.15
3381,2,65.39
2428,2,78.29
1570,4,141.92
2293,4,61.14
2893,5,113.15
2134,4,169.28
3755,4,59.98
885,3,167.91
3478,3,96.79
3106,4,103.46
2122,3,129.75
3499,3,75.26
1899,5,59.41
2366,2,149.83
2554,4,102.84
2538,1,146.27
2325,2,46.54
1752,1,105.34
2136,2,138.49
3842,2,77.32
823,4,44.58
1033,2,100.26
1517,5,72.55
3128,1,146.58
3913,4,44.69
2630,3,87.44
2946,2,147.52
2403,4,129.56
3557,3,116.05
2429,5,156.91
3538,4,59.76
3609,2,129.59
2918,3,146.21
2128,1,135.59
2852,1,38.31
1619,1,87.91
2160,3,87.25
1752,3,167.37
3846,1,127.14
3955,4,52.14
1180,3,77.51
2866,2,93.2
2241,1,164.87
3002,1,152.0
2673,2,154.07
1719,1,34.18
3078,3,98.46
2433,2,120.57
3227,4,105.43
2887,4,44.36
2792,3,152.93
3689,3,122.3
838,3,142.21
1663,1,154.12
1294,2,61.65
1983,3,106.17
960,1,153.93
1333,3,109.56
1577,5,129.59
3355,1,119.71
1203,3,144.2
1703,4,61.31
1637,1,91.08
2964,3,57.02
1509,3,52.73
1581,4,59.81
3581,4,139.97
2910,5,62.49
2786,4,89.8
2990,2,117.58
1278,3,78.58
3711,5,44.19
2240,5,101.05
3702,2,120.87
1716,4,161.73
3516,5,142.35
837,3,71.58
2316,3,59.79
1860,2,47.78
2037,3,165.38
1136,3,135.96
3532,5,66.76
1861,1,46.5
1659,2,61.77
1528,5,68.84
2862,1,38.92
2756,3,44.69
3532,5,100.72
3237,4,108.74
2244,1,85.79
1674,1,114.46
1470,5,134.59
1371,3,145.22
803,5,85.58
3929,1,146.47
2216,2,66.65
